points,country,0
87,US,8208
88,US,6539
90,US,6338
86,US,5936
85,US,5181
84,US,5084
87,Italy,4400
92,US,4399
89,US,4290
91,US,4168
88,Italy,3432
83,US,2914
93,US,2802
90,Italy,2743
86,Italy,2655
90,France,2625
88,France,2592
82,US,2374
87,France,2272
89,Italy,2176
89,France,2064
91,France,1936
91,Italy,1826
86,France,1769
94,US,1724
92,France,1590
92,Italy,1531
85,Italy,1519
85,France,1415
93,France,1327
87,Other,1137
84,France,1125
87,Spain,1119
86,Spain,980
88,Spain,966
86,Other,947
93,Italy,941
88,Other,927
85,Spain,886
89,Other,861
86,Chile,859
90,Other,847
84,Spain,831
84,Italy,824
87,Chile,822
94,France,812
95,US,798
85,Chile,730
88,Portugal,704
87,Argentina,700
88,Chile,697
81,US,688
86,Argentina,678
85,Argentina,671
85,Other,671
89,Spain,653
90,Portugal,646
84,Argentina,636
87,Australia,636
83,Spain,627
90,Australia,626
84,Chile,617
84,Other,611
88,Australia,601
83,Argentina,595
89,Australia,594
87,Portugal,583
89,Portugal,570
86,Portugal,568
87,New Zealand,556
86,Australia,537
90,Austria,537
90,Spain,529
88,Argentina,523
85,Portugal,513
94,Italy,503
95,France,481
89,Chile,475
91,Portugal,471
89,Austria,469
90,New Zealand,453
86,New Zealand,451
83,Chile,448
88,Austria,446
88,New Zealand,444
91,Other,438
89,New Zealand,421
80,US,418
91,Spain,410
85,Australia,393
84,Portugal,393
83,France,392
82,Spain,370
91,Australia,365
83,Italy,356
89,Argentina,348
84,Australia,337
90,Chile,325
92,Portugal,321
96,US,316
87,Austria,314
85,New Zealand,307
82,Argentina,307
91,Austria,306
90,Argentina,304
83,Other,290
92,Other,266
92,Spain,260
92,Australia,259
82,Chile,237
95,Italy,234
92,Austria,232
96,France,226
81,Argentina,224
91,Chile,221
82,Other,207
82,France,206
84,New Zealand,203
91,Argentina,200
91,New Zealand,195
86,Austria,193
81,Spain,191
93,Austria,186
83,Australia,182
93,Portugal,180
92,Argentina,163
80,Argentina,153
80,Spain,149
93,Spain,147
83,Portugal,146
97,US,144
93,Australia,140
81,Chile,135
93,Other,131
85,Austria,125
82,Italy,121
97,France,117
92,New Zealand,112
92,Chile,108
82,Australia,106
94,Austria,101
94,Portugal,92
81,Other,84
80,Chile,80
94,Other,78
93,Argentina,77
83,New Zealand,73
81,France,65
96,Italy,64
94,Spain,63
82,Portugal,59
97,Italy,57
93,Chile,54
98,US,50
95,Spain,50
94,Australia,47
84,Austria,47
98,France,44
81,Australia,43
81,Italy,41
82,New Zealand,40
95,Australia,40
95,Austria,38
80,Other,37
95,Portugal,34
94,Argentina,32
93,New Zealand,32
95,Other,30
83,Austria,25
96,Spain,24
98,Italy,23
80,France,19
81,New Zealand,18
96,Austria,17
99,France,17
99,Italy,16
99,US,16
96,Other,15
96,Australia,14
82,Austria,14
97,Australia,14
96,Portugal,12
80,New Zealand,12
80,Portugal,12
81,Portugal,12
98,Australia,11
97,Spain,11
100,US,10
95,Argentina,10
80,Italy,9
97,Other,9
80,Australia,9
96,Argentina,7
94,Chile,7
100,Italy,7
97,Austria,5
97,Portugal,5
100,France,4
97,Argentina,3
94,New Zealand,3
100,Australia,3
98,Spain,2
98,Austria,1
95,Chile,1
99,Portugal,1
81,Austria,1
